날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1907-10-01,108,13.5,7.9,20.7
1907-10-02,108,16.2,7.9,22
1907-10-03,108,16.2,13.1,21.3
1907-10-04,108,16.5,11.2,22
