날짜,지점,중간기온(℃),최저기온(℃),최고기온(℃)
1907-10-01,108,14.3,7.9,20.7
1907-10-02,108,14.95,7.9,22.0
1907-10-03,108,17.2,13.1,21.3
1907-10-04,108,16.6,11.2,22.0
